Key,en,es,ar
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير
Wallet Information Not Found!,Wallet Information Not Found!,¡No se encontró información de la billetera!,لم يتم العثور على معلومات المحفظة!
api,api,API,واجهة برمجة التطبيقات
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvía exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!
Can\'t exchange money with same currency,Can\'t exchange money with same currency,No se puede cambiar dinero con la misma moneda,لا يمكن استبدال الأموال بنفس العملة
user.authorize.google.2fa,user.authorize.google.2fa,usuario.autorizar.google.2fa,user.authorize.google.2fa
User doesn,User doesn,El usuario no,المستخدم لا
Recipient doesn,Recipient doesn,El destinatario no,المتلقي لا
Something went worng! Please try again.,Something went worng! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,لقد ذهب شيء ما! حاول مرة اخرى.
user.add.money.index,user.add.money.index,usuario.agregar.dinero.index,user.add.money.index
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال
Please verify your KYC information before any withdrawal action,Please verify your KYC information before any withdrawal action,Verifique su información KYC antes de cualquier acción de retiro,يرجى التحقق من معلومات KYC الخاصة بك قبل أي إجراء سحب
Installation,Installation,Instalación,تثبيت
inner-title,inner-title,título interno,العنوان الداخلي
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي
canceled,canceled,cancelado,ألغيت
Failed!,Failed!,¡Fallido!,فشل!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع
Requirements,Requirements,Requisitos,متطلبات
Back,Back,Atrás,خلف
Next,Next,Próximo,التالي
Welcome,Welcome,Bienvenido,مرحباً
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لمشروع عملية التثبيت
mt-10 text--white fw-normal,mt-10 text--white fw-normal,mt-10 texto--blanco fw-normal,نص MT-10-أبيض مهاجم-عادي
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación haga clic en el botón de inicio. Si elige no instalar esta aplicación, haga clic en el botón cancelar. Gracias",لمتابعة عملية التثبيت انقر على زر البداية. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا
Cancel,Cancel,Cancelar,يلغي
Start,Start,Comenzar,يبدأ
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول
Password ,Password ,Contraseña,كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني لحسابك أو اسم المستخدم
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني
Send,Send,Enviar,يرسل
Reset ,Reset ,Reiniciar,إعادة ضبط
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
alert alert-primary justify-content-center,alert alert-primary justify-content-center,alerta alerta-principal justificar-centro-de-contenido,تنبيه التنبيه الأساسي مبرر مركز المحتوى
Sender,Sender,Remitente,مرسل
badge badge--danger,badge badge--danger,insignia insignia--peligro,شارة شارة-خطر
modal-title,modal-title,título-modal,عنوان مشروط
Add Language,Add Language,Agregar idioma,إضافة لغة
button,button,botón,زر
Add,Add,Agregar,يضيف
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Add New Item,Add New Item,Agregar ítem nuevo,أضف أداة جديدة
Add Item,Add Item,Añadir artículo,اضافة عنصر
Add Brand,Add Brand,Agregar marca,أضف علامة تجارية
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات
Add Service,Add Service,Agregar servicio,أضف الخدمة
Add Solution,Add Solution,Agregar solución,أضف الحل
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
countryFlag,countryFlag,Bandera del país,علم الدولة
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Add Currency,Add Currency,Agregar moneda,أضف العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Add Sending Purpose,Add Sending Purpose,Agregar propósito de envío,إضافة غرض الإرسال
Add Source Of Found,Add Source Of Found,Agregar fuente de encontrado,أضف مصدر العثور عليه
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
selectRole,selectRole,seleccionarRol,حدد الدور
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Edit Sending Purpose,Edit Sending Purpose,Editar propósito de envío,تحرير غرض الإرسال
Edit Source Of Found,Edit Source Of Found,Editar fuente de encontrado,تحرير مصدر العثور عليه
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
extension-name,extension-name,nombre-extensión,اسم الامتداد
Reject KYC ,Reject KYC ,Rechazar KYC,"رفض ""اعرف عميلك""."
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Close,Close,Cerca,يغلق
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
in bellow,in bellow,abajo,في رفع الصوت عاليا
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Charge,Charge,Cargar,تكلفة
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
Field Types*,Field Types*,Tipos de campo*,أنواع الحقول*
"This ticket is solved, you can","This ticket is solved, you can","Este ticket está solucionado, puedes",تم حل هذه التذكرة، يمكنك
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
view-btn bg--warning,view-btn bg--warning,ver-btn bg - advertencia,عرض btn bg--تحذير
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
view-btn bg--info,view-btn bg--info,ver-btn bg--info,عرض btn bg--info
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Subject,Subject,Sujeto,موضوع
Description,Description,Descripción,وصف
Attachments,Attachments,Archivos adjuntos,المرفقات
Fixed Charge*,Fixed Charge*,Cargo fijo*,الرسوم الثابتة*
Percent Charge*,Percent Charge*,Cargo porcentual*,نسبة الشحن*
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري
Admin,Admin,Administración,مسؤل
Developed by,Developed by,Desarrollado por,طورت بواسطة
javascript:void(0),javascript:void(0),javascript: vacío (0),جافا سكريبت: باطل(0)
Reset To Default,Reset To Default,Restablecen a los predeterminados,إعادة تعيين إلى الافتراضي
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
sidebar-menu-header,sidebar-menu-header,encabezado del menú de la barra lateral,رأس القائمة الجانبية
menu-title,menu-title,título del menú,عنوان القائمة
Auth Section,Auth Section,Sección de autenticación,قسم المصادقة
Security System,Security System,Sistema de seguridad,نظام الأمن
Testimonial,Testimonial,Testimonial,شهادة
Why Choose Us,Why Choose Us,Por qué elegirnos,لماذا أخترتنا
App Section,App Section,Sección de aplicaciones,قسم التطبيقات
Service Page Section,Service Page Section,Sección de la página de servicio,قسم صفحة الخدمة
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
USER,USER,USUARIO,مستخدم
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
Success,Success,Éxito,نجاح
Pending,Pending,Pendiente,قيد الانتظار
Hold,Hold,Sostener,يمسك
Rejected,Rejected,Rechazado,مرفوض
Waiting,Waiting,Espera,منتظر
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد
fw-bold text-danger,fw-bold text-danger,fw-peligro de texto en negrita,مهاجم النص الغامق الخطر
Are you sure to approved this reques,Are you sure to approved this reques,¿Estás seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب
Rejection Confirmation,Rejection Confirmation,Confirmación de rechazo,تأكيد الرفض
modal,modal,modal,مشروط
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Replyed,Replyed,Respondido,تم الرد
Not Replyed,Not Replyed,No respondido,لم يتم الرد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Policy Link*,Policy Link*,Enlace de política*,رابط السياسة*
Gateways,Gateways,Puertas de enlace,بوابات
title fw-bold,title fw-bold,título fw-negrita,عنوان مهاجم غامق
Crypto Wallets,Crypto Wallets,Carteras criptográficas,محافظ التشفير
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,La billetera no está presente en alguna moneda/moneda.,المحفظة غير موجودة في بعض العملات/العملات المعدنية.
Ex:,Ex:,Ex:,السابق:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón generar billeteras para crear billeteras dinámicamente.,انقر فوق زر إنشاء محافظ لإنشاء محافظ ديناميكيًا.
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está en mantenimiento o necesita generar una billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,"هذه العملة تحت الصيانة أو تحتاج إلى إنشاء محفظة. يمكنك إضافة المحفظة يدويًا عن طريق النقر فوق زر ""إضافة""."
Add New Wallet,Add New Wallet,Agregar nueva billetera,إضافة محفظة جديدة
Delete Wallet,Delete Wallet,Eliminar billetera,حذف المحفظة
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟
Delete,Delete,Borrar,يمسح
Gateway Edit,Gateway Edit,Puerta de enlace Editar,تحرير البوابة
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة
Transacitons,Transacitons,Transacciones,Transacitons
Add Money Request,Add Money Request,Agregar solicitud de dinero,إضافة طلب المال
Withdraw Money Request,Withdraw Money Request,Solicitud de retiro de dinero,طلب سحب الأموال
Completed,Completed,Terminado,مكتمل
Solved,Solved,Resuelto,تم حلها
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها
This Year Profit,This Year Profit,Ganancia de este año,الربح هذا العام
Withdraw Money Balance,Withdraw Money Balance,Retirar saldo de dinero,سحب رصيد المال
Latest Add Moeny,Latest Add Moeny,Último agregado Moeny,آخر إضافة مويني
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Sender Information,Sender Information,Información del remitente,معلومات المرسل
one,one,uno,واحد
Date:,Date:,Fecha:,تاريخ:
two,two,dos,اثنين
Transaction Number:,Transaction Number:,Número de transacción:,رقم التحويلة:
three,three,tres,ثلاثة
Username:,Username:,Nombre de usuario:,اسم المستخدم:
four,four,cuatro,أربعة
Type:,Type:,Tipo:,يكتب:
five,five,cinco,خمسة
Request Amount:,Request Amount:,Cantidad de la solicitud:,مبلغ الطلب:
Charge:,Charge:,Cargar:,تكلفة:
After Charge:,After Charge:,Después de la carga:,بعد الشحن:
Rate:,Rate:,Tasa:,معدل:
Payable:,Payable:,Pagadero:,مستحق الدفع:
Status:,Status:,Estado:,حالة:
Last Reply,Last Reply,Última respuesta,الرد الأخير
Wallet:,Wallet:,Billetera:,محفظة:
Received Amount:,Received Amount:,Cantidad recibida:,المبلغ الذي تسلمه:
Current Balance:,Current Balance:,Saldo actual:,الرصيد الحالي:
User Wallets,User Wallets,Carteras de usuario,محافظ المستخدم
Merchant Overview,Merchant Overview,Descripción general del comerciante,نظرة عامة على التاجر
Information of Merchant,Information of Merchant,Información del comerciante,معلومات التاجر
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
balance,balance,balance,توازن
Type,Type,Tipo,يكتب
wallet,wallet,billetera,محفظة
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Email To Merchants,Email To Merchants,Correo electrónico a comerciantes,البريد الإلكتروني للتجار
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
Merchant Login Logs,Merchant Login Logs,Registros de inicio de sesión del comerciante,سجلات دخول التاجر
Merchant Email Logs,Merchant Email Logs,Registros de correo electrónico del comerciante,سجلات البريد الإلكتروني للتاجر
Merchant Config,Merchant Config,Configuración del comerciante,تكوين التاجر
MERCHANT,MERCHANT,COMERCIANTE,تاجر
Are you sure to approved this request,Are you sure to approved this request,¿Estás seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب
Approved,Approved,Aprobado,موافقة
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة
Crypto,Crypto,Cripto,تشفير
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال)
gatewayImage,gatewayImage,puerta de enlaceImagen,gateImage
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Method*,Method*,Método*,طريقة*
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Version,Version,Versión,إصدار
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Timezone,Timezone,Zona horaria,وحدة زمنية
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
Categories,Categories,Categorías,فئات
Add Category,Add Category,añadir categoría,إضافة فئة
Update Category,Update Category,Actualizar categoría,تحديث الفئة
Category,Category,Categoría,فئة
Tags,Tags,Etiquetas,العلامات
#about-us-item-add,#about-us-item-add,#sobre-nosotros-añadir-artículo,#من نحن-عنصر-إضافة
btn--base modal-btn,btn--base modal-btn,btn--base modal-btn,btn--قاعدة مشروط-btn
fas fa-plus me-1,fas fa-plus me-1,fas fa-plus yo-1,فاس فا بلس مي-1
Edit Item,Edit Item,Editar artículo,تعديل عنصر
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة الإعلانات
Total Category,Total Category,Categoría Total,الفئة الإجمالية
Active Category,Active Category,Categoría activa,الفئة النشطة
Total Announcement,Total Announcement,Anuncio total,إعلان إجمالي
Active Announcement,Active Announcement,Anuncio activo,إعلان فعال
#app-add,#app-add,#agregar aplicación,#app-add
Add Item ,Add Item ,Añadir artículo,اضافة عنصر
#client-feedback-add,#client-feedback-add,# comentarios-del-cliente-agregar,#ملاحظات-العميل-إضافة
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Social Links,Social Links,vínculos sociales,روابط اجتماعية
Edit Glance,Edit Glance,Editar vistazo,تحرير لمحة
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
Edit Solution,Edit Solution,Editar solución,تحرير الحل
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
Ticket ID,Ticket ID,Identificación de entradas,معرف التذكرة
Support Ticket,Support Ticket,Boleto de soporte,بطاقة الدعم
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
Add link,Add link,Añadir enlace,إضافة رابط
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Information of User,Information of User,Información del Usuario,معلومات المستخدم
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
input-group-text,input-group-text,texto-grupo-de-entrada,إدخال مجموعة النص
Seconds,Seconds,Segundos,ثواني
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Public,Public,Público,عام
Introduction,Introduction,Introducción,مقدمة
Getting Started,Getting Started,Empezando,ابدء
Prerequisites,Prerequisites,Requisitos previos,المتطلبات الأساسية
Authentication,Authentication,Autenticación,المصادقة
Base URL,Base URL,URL base,عنوان URL الأساسي
API Reference,API Reference,Referencia de API,مرجع واجهة برمجة التطبيقات
Access Token,Access Token,Token de acceso,رمز وصول
Initiate Payment,Initiate Payment,Iniciar pago,الشروع في الدفع
Check Payment Status,Check Payment Status,Verificar estado de pago,التحقق من حالة الدفع
Response Codes,Response Codes,Códigos de respuesta,رموز الاستجابة
Error Handling,Error Handling,Manejo de errores,معالجة الأخطاء
Best Practices,Best Practices,Mejores prácticas,أفضل الممارسات
Examples,Examples,Ejemplos,أمثلة
Support,Support,Apoyo,يدعم
Back to Home page,Back to Home page,Volver a la página de inicio,العودة إلى الصفحة الرئيسية
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مصرح...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 ممنوع
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!
404 - Page Not Found,404 - Page Not Found,404 Pagina no encontrada,404 - الصفحة غير موجودة
Page Not Found...!,Page Not Found...!,Página no encontrada...!,الصفحة غير موجودة...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم
Server Error...!,Server Error...!,Error del Servidor...!,خطأ في الخادم...!
Send Money,Send Money,Enviar dinero,إرسال الأموال
Send Message,Send Message,Enviar mensaje,أرسل رسالة
widget-title,widget-title,título-widget,عنوان الأداة
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
Read More,Read More,Leer más,اقرأ أكثر
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Terms Condition,Terms Condition,Términos y Condiciones,شروط الشرط
FAQ,FAQ,Preguntas más frecuentes,التعليمات
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع
Copyright,Copyright,Derechos de autor,حقوق النشر
All Rights Reserved,All Rights Reserved,Reservados todos los derechos,كل الحقوق محفوظة
Designed with love by,Designed with love by,Diseñado con amor por,مصممة بالحب من
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Subscribe To Our Page,Subscribe To Our Page,Suscríbete a nuestra página,اشترك في صفحتنا
Production,Production,Producción,إنتاج
Sandbox,Sandbox,Salvadera,رمل
Primary Key,Primary Key,Clave primaria,المفتاح الأساسي
Secret Key,Secret Key,Llave secreta,المفتاح السري
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al panel,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم
Back to Login,Back to Login,Atrás para iniciar sesión,العودة إلى تسجيل الدخول
Authorize,Authorize,Autorizar,يأذن
title text--warning,title text--warning,texto del título: advertencia,نص العنوان-تحذير
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.
Back to ,Back to ,De regreso,ارجع الى
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب
